,ID,date,dept,annee_const,hauteur,etages,mat_murs,mat_toits,nb_angles,surface_bati_dur,surface_bati_leger,surface_parcelle,nb_bati_dur,nb_bati_leger,NbPieces
1218,984894,29/10/2020,42,2013,5.6,1,20,10,7,423.8,0,896.3140105,1,0,4p
5186,1980518,29/09/2020,82,2006,3.3,1,40,10,8,76,31.9,954.8835757,1,1,5p
12761,951472,01/10/2015,34,2010,6.1,1,50,10,16,157.3,0,9938.308896,1,0,4p
13146,1159317,20/02/2018,37,1850,5.1,1,12,10,7,205.1,44.7,832.3912674,1,1,4p
12793,1044562,01/12/2015,37,1846,4.9,2,10,10,7,88,0,724.5769107,1,0,3p
621,2272458,16/04/2018,76,1900,3,1,49,20,5,159.2,0,2914.036305,1,0,3p
5360,2102193,30/04/2019,59,1956,4.2,2,46,10,7,144.7,0,608.0051439,1,0,5p
8036,942577,10/10/2016,33,1977,3.4,2,35,40,5,59.8,0,366.1344202,1,0,4p
5942,1921088,07/03/2018,62,1981,5.1,2,45,10,13,242.6,0,1005.58842,1,0,5p
762,60975,10/07/2017,3,1951,3.9,1,34,10,9,99.3,0,244.251549,1,0,4p
6332,1076533,29/07/2019,33,2015,6.9,2,9,1,12,164,0,764.3769196,1,0,3p
9109,2190080,26/11/2019,62,1938,6.9,2,40,10,10,76.3,0,421.3186784,1,0,5p
9874,231708,16/03/2020,13,2003,8.7,1,1,1,9,112.9,0,251.1304894,1,0,4p
7388,2108290,16/01/2017,62,1902,4.7,1,40,10,12,97.7,0,316.2274161,1,0,5p
13242,1150683,27/03/2018,37,1986,3.3,1,50,20,8,163.1,0,857.6384107,1,0,5p
4235,1488625,12/10/2018,47,1800,4.3,2,25,10,8,142,0,1398.65888,1,0,4p
12185,2288948,14/06/2019,64,1973,3.3,1,50,10,13,122.7,0,997.7411601,1,0,4p
11946,1498283,14/11/2016,50,2011,4.1,1,50,20,7,227.1,2.6,901.1780295,2,1,3p
4456,1407428,26/06/2020,59,1952,4.9,3,40,10,13,122.1,0,890.1899656,1,0,6p et plus
6824,1673124,16/10/2017,49,1966,5.2,1,34,20,7,102,0,284.9586501,1,0,5p
7322,1068315,22/02/2019,33,1992,3.2,1,40,10,7,152.7,0,771.0796333,1,0,4p
8524,878503,08/01/2018,31,1978,5.5,1,59,10,9,137.2,0,516.3075284,1,0,5p
10712,1276830,21/01/2015,45,1997,4.8,2,5,2,12,179.2,0,889.0995945,1,0,4p
8256,516471,27/05/2019,17,1991,3,2,50,10,14,97,0,230.932715,2,0,3p
1574,1536612,29/11/2018,49,1850,4.7,1,20,90,7,46.1,0,45.95274982,1,0,2p et moins
8561,2605620,26/02/2018,85,1980,3.1,1,50,10,11,237.1,0,684.9914335,1,0,4p
8720,2078894,19/01/2015,76,1700,5,2,34,10,7,247.5,37.3,1518.535069,1,1,5p
5237,689455,28/09/2015,29,1980,5,2,50,20,7,314.4,0,318.15959,1,0,3p
9606,369772,04/03/2019,13,1999,4.9,1,50,10,10,110.5,0,436.3825855,1,0,6p et plus
12695,2361652,04/04/2016,80,1961,4.1,2,50,10,5,76.9,0,294.6908412,1,0,6p et plus
11870,2859707,02/11/2017,85,2002,3.9,1,30,10,13,136,0,669.9354661,1,0,4p
2576,1874710,28/05/2019,53,1976,5.9,1,50,20,7,2959.2,0,8862.619412,1,0,4p
13826,35294,25/11/2020,2,1974,5.8,1,35,10,5,126.9,0,343.7055216,2,0,5p
4710,1297117,15/12/2017,37,2011,3,1,50,20,5,100.8,0,119.8129024,2,0,4p
13281,1977365,31/05/2017,59,1968,5,1,40,20,7,181.6,0,340.650152,1,0,4p
9475,1218326,25/09/2017,35,1998,3,1,39,20,5,84.2,0,294.7920797,1,0,4p
10421,1356033,10/07/2018,44,1830,6,2,10,20,8,17.7,0,18.51134883,1,0,2p et moins
5223,1585572,19/04/2019,44,1984,3.1,2,50,20,11,156.4,18.3,993.7196554,1,1,6p et plus
10667,2562739,30/01/2017,77,2001,5,2,30,10,5,107.6,0,454.3768287,1,0,4p
11565,1198151,09/10/2020,50,1700,5.4,2,14,10,8,133.7,0,1518.199182,1,0,5p
6893,351289,30/05/2018,14,1977,3,2,50,10,7,129.3,0,540.8688358,1,0,4p
5016,1570133,26/06/2017,44,1987,3.7,1,30,20,7,61,0,61.40090358,1,0,4p
13149,1708753,28/04/2016,59,1800,5.9,2,40,10,15,78.7,0,1445.420706,2,0,6p et plus
868,1678860,30/04/2015,62,1986,6.4,2,10,10,7,75.4,0,666.0486526,1,0,4p
4497,2952490,06/01/2017,88,1900,6.1,1,10,10,7,54.4,0,183.8497262,1,0,3p
5838,765098,24/07/2020,34,1950,5.6,2,10,10,6,77.2,0,1023.204269,1,0,3p
5910,423002,31/10/2018,17,2003,4.1,1,40,10,12,97.7,0,582.4602217,2,0,5p
5816,880505,12/11/2020,38,2007,5.1,2,20,10,13,123,19.5,990.132549,1,1,4p
7945,1669170,04/12/2015,62,1924,8.7,3,40,13,9,214.6,0,377.6835158,1,0,5p
7953,2353243,30/11/2015,85,1800,4.5,1,10,10,16,122.3,0,1162.416521,1,0,4p
10933,2846546,24/10/2019,80,1975,3,1,50,10,5,65.5,0,66.75534638,1,0,6p et plus
10433,2080094,14/03/2016,72,1964,4.1,1,24,10,5,467.6,0,2496.167845,1,0,2p et moins
6546,772723,28/09/2017,28,1967,4.3,1,40,10,11,89.4,0,477.0303925,1,0,4p
4803,2188108,09/11/2020,91,1900,7.8,2,21,10,5,97.8,0,224.553202,1,0,6p et plus
2596,2748424,04/10/2017,82,1860,4.6,1,90,10,10,49.4,0,226.8111269,1,0,3p
12196,2584440,13/02/2017,77,1875,4.1,2,40,10,8,121.5,12.6,766.7949104,1,1,4p
3507,500089,17/07/2017,17,1975,4.3,1,50,10,15,167.1,0,524.6955633,2,0,4p
12616,1701976,31/07/2020,72,1902,8.4,3,21,20,10,69,0,168.9746352,1,0,4p
2091,46044,30/10/2017,2,1928,6.9,2,40,10,7,132.6,0,413.6698421,1,0,6p et plus
6664,1918766,03/10/2017,59,1951,8.9,3,40,10,7,118.2,0,484.8699651,1,0,5p
6417,830133,28/03/2019,28,1800,6.4,2,10,20,9,58.8,0,104.4459485,1,0,4p
7100,419965,23/08/2018,17,2006,6.5,2,30,10,6,135.6,0,480.5036108,2,0,4p
5798,2823591,23/03/2019,80,1900,6,2,40,20,9,123.3,0,656.4742676,2,0,3p
6145,2267292,20/06/2019,64,0,5.2,2,20,10,14,155.3,2.8,689.9370953,1,1,5p
11807,304643,12/11/2020,16,1925,3.8,1,20,10,8,59.1,0,104.6132503,1,0,3p
11177,2803801,04/07/2018,92,1937,6.9,3,24,23,15,37.9,0,179.0350234,1,0,6p et plus
14967,913967,20/10/2016,33,1960,6.6,2,35,10,9,77.7,0,298.6528002,1,0,5p
1955,1830542,12/01/2017,54,1960,4.8,2,10,10,8,104.4,0,470.7527788,1,0,6p et plus
2683,214734,03/04/2020,11,1991,3.9,2,50,10,12,98.6,11.2,502.695232,1,1,6p et plus
12249,1992766,25/04/2018,64,1996,3,2,26,10,11,101.2,0,3611.873385,1,0,5p
4484,2495063,20/11/2017,74,1993,4.5,2,60,10,7,70.8,0,278.0000097,1,0,6p et plus
6513,224352,27/05/2016,11,2002,3.5,1,40,10,11,129.3,0,666.3858845,1,0,4p
2142,1441040,07/10/2020,59,1922,4.4,2,0,0,8,97.8,0,1514.111273,2,0,5p
14252,2224242,29/01/2015,80,1926,6.1,2,40,10,5,581.1,0,3306.305467,1,0,3p
